Task ID,Created At,Completed At,Last Modified,Name,Assignee,Start Date,Due Date,Tags,Notes,Projects,Parent Task,Task Type,Resolution
484550663159398,2017-11-20,2017-11-21,2017-11-21,add more links to definitions,,,,Medium Priority,,Requirements Doc,,Feedback,
460422079433018,2017-10-23,2017-11-16,2017-11-16,fix ToC and headings,Lucas Boulanger,,,Medium Priority,,Requirements Doc,,Feedback,Completed
460422079433016,2017-10-23,2017-11-16,2017-11-16,fix logout description to match design,Lucas Boulanger,,,Low Priority,,Requirements Doc,,Feedback,Completed
453521743372780,2017-10-15,2017-10-21,2017-10-21,Modify section 3 to reflect that update grade item total is now an available option on the grade item page,Lucas Boulanger,,,Medium Priority,Pressing a button opens a pop-up. Existing requirement that pop-up appears if grade > grade total stays the same,Requirements Doc,,Task,Completed
447771607705670,2017-10-08,2017-10-08,2017-10-08,Mention that PHP and Python versions are being developed,Troy Nechanicky,,,High Priority,,Requirements Doc,,Feedback,Completed
446865901199938,2017-10-05,2017-10-08,2017-10-08,All external links should open in a new tab,Lucas Boulanger,,,Low Priority,,Requirements Doc,,Feedback,Completed
445658784348235,2017-10-04,2017-10-05,2017-10-21,New Requirement,Lucas Boulanger,,,High Priority,"After discussion with Harold, will be making small requirements change. Currently, if grade > grade item total, user asked if want to change grade item total. If Yes, redirected to MLS. New requirement will be to handle total change in ezMarker (just handled in prompt).

Requires modification to sections 2.2, 2.3",Requirements Doc,,Task,Completed
445658784348238,2017-10-04,2017-10-05,2017-10-05,Section 2 changes,Troy Nechanicky,,,,,,New Requirement,,
445658784348239,2017-10-04,2017-10-04,2017-10-04,Section 3 changes,Lucas Boulanger,,,,,,New Requirement,,
444307163949581,2017-10-03,2017-10-08,2017-10-08,Need to mention that Autograder driving force behind project (in Section 1),Lucas Boulanger,,,Medium Priority,,Requirements Doc,,Feedback,Completed
444307163949578,2017-10-03,2017-10-05,2017-10-05,"Make it clear that ezMarker will accept a formatted .txt, not specifically an Autograder file",Lucas Boulanger,,,High Priority,"The Autograder file format is being changed to a more universal format (tbd, not a part of project). As such, we are no longer operating under the assumption that only Autograder files will be uploaded. Wording needs to be changed to reflect this",Requirements Doc,,Feedback,Completed
442193693614096,2017-10-01,2017-10-01,2017-10-05,Remove Sarah from SQA b/c she is already listed as an author,koka5160,,,Low Priority,,Requirements Doc,,Feedback,Completed
442193693614093,2017-10-01,2017-10-01,2017-10-05,Add description of changes to Revision History,koka5160,,,Low Priority,"Ex. ""implemented feedback from initial draft... changed to reflect generalized .txt format"" or something",Requirements Doc,,Feedback,Completed
442188983441498,2017-10-01,2017-10-01,2017-10-05,Add reference links from terms to def'n section,Lucas Boulanger,,,Medium Priority,,Requirements Doc,,Feedback,Completed
442176914877680,2017-10-01,2017-10-01,2017-10-01, Section 1.2: Change word,Harjodh Singh,,,,'cuts grade recording time' to 'reduces grade recording time',Requirements Doc,,Feedback,Completed
442176914877677,2017-10-01,2017-10-01,2017-10-01,Section 1 Introduction Overview,Harjodh Singh,,,,"It says ""A vital part of this system is a feature that allows instructors to set grades and give feedback on student work."" 
I think it sounds better if you change 'a feature' to 'the feature'",Requirements Doc,,Feedback,Completed
442156471495196,2017-09-30,2017-10-01,2017-10-01,Section 2.4 - Wording change,Harjodh Singh,,2017-10-01,,"This one is a suggestion but for this line:
""No technical experience is required for the use of ezMarker.""
Brown did mention to be more specific. No technical experience could mean something we really don't intend

",Requirements Doc,,Feedback,Completed
442156471495193,2017-09-30,2017-10-01,2017-10-01,Section 1.2 - adding details,Troy Nechanicky,,2017-10-01,,"""ezMarker also offers a more efficient way of manually marking students""
We need to provide an example or be more specific about how its more efficient for manual entry. 

""The goal of implementing a new system of feedback and grading is to improve the speed..""
I remember Brown talking about adding an actual time estimate, provide some sort of way to quantify this speed factor. 

",Requirements Doc,,Feedback,Cancelled
441936227082698,2017-09-29,2017-10-01,2017-10-01,Section 1 More detail,Troy Nechanicky,,2017-09-29,High Priority,"Need to add detail as to exactly why existing MLS implementation sucks. Also mention building off of existing implementation. Also mention uploading files to set grades and feedback and allowing to set manually multiple students at once.

Also mention we are supporting manual input in 1.2

Also see the follow Slack exchange:
""Troy Nechanicky [6:40 PM] 
Req. introduction says ""conventional feedback uploading techniques such as... through a Dropbox interface"". Accurate? Could be better worded to expose problem with interface? (I'm already going to add that you have to manually enter grades for sometimes 200 students)


Harold [7:01 PM] 
Wording could use some help. If you check my report from last winter I go into the manual methods a bit""",Requirements Doc,,Feedback,Completed
