Task ID,Created At,Completed At,Last Modified,Name,Assignee,Start Date,Due Date,Tags,Notes,Projects,Parent Task,Task Type,Resolution
485952249298803,2017-11-22,2017-11-23,2017-12-15,"Heroku is only for testing python, Apache will be used for release",Sophie,,,High Priority,Please change the appropriate sections of SPMP to reflect this,SPMP,,Feedback,Completed
485345025096364,2017-11-21,2017-11-23,2017-12-15,Document Deliverables,Sophie,,,High Priority,"Missing analysis, design? Also need to pluralize or otherwise make clear 2 versions of everything (for php, python)
What is ""Client Feedback""?
Also, from Project deliverables (on CP317 site): ""User documentation... Documentation standards"". So need to add ""Documentation standards"". Probably should also add ""coding standards"". Not sure what ""user documentation"" is... perhaps Help doc.? So that can also be added

",SPMP,,Feedback,Completed
485345025096361,2017-11-21,,2017-11-23,Should deadline (i.e. Constraint) be Dec. 15 but leave Dec. 6 as target?,Sophie,,,Low Priority,,SPMP,,Feedback,
484550663159395,2017-11-20,2017-11-22,2017-11-22,provide descriptions/links for technical resources section,Deep Raithatha,,,Medium Priority,,SPMP,,Feedback,Completed
476972155445127,2017-11-12,2017-11-20,2017-11-20,"6.2 should include Heroku, AWS?",Troy Nechanicky,,,Medium Priority,"Remove Dropbox? Change Google Docs to G Suite OR Google Docs AND Google Sheets. Change MS Word to Microsoft Office?(since using Excel for csv manipulation). 
*DO THESE miscellaneous tools even need to be mentioned? Else just have to keep adding. I think 5 different applications were used to make diagrams*


",SPMP,,Feedback,Completed
476972155445124,2017-11-12,2017-11-13,2017-11-13,"Don't need to say ""(Python and PHP)."" for 6.1 Design. ",Sophie,,,Low Priority,Stands out that it is not elsewhere in 6.1,SPMP,,Feedback,Completed
476972155445121,2017-11-12,2017-11-12,2017-11-12,5.4 comment,Sophie,,,High Priority,"    A log of all tickets from September 2017 to December 2017.
    A document containing detailed descriptions of QA reports.
suggest to combine into 1 line

*ACTUALLY, why does 5.4 exist? Duplication of deliverables in section 1*",SPMP,,Feedback,Completed
476972155445118,2017-11-12,2017-11-12,2017-11-12,Conflicting due dates,Sophie,,,High Priority,Constraint says deadline of Dec. 6. 5.1.1 says deadline of Dec. 20. Deadline in 6.1 for intergration is 05,SPMP,,Feedback,Completed
476972155445113,2017-11-12,2017-11-13,2017-11-13,Desire2Learn has been D2L for some years now. Remove Desire2Learn,Sophie,,,Medium Priority,Actually recommend copying Def'ns from Requirements. Don't like SPMP def for Brightspace either,SPMP,,Feedback,Completed
476972155445110,2017-11-12,2017-11-12,2017-11-12,Should add link to PHP website and then distinguish between the 2,Sophie,,,High Priority,"That is to correct existing Reference section. However, I recommend removing ""test website"". What is purpose of it on SPMP? Site does not actually reflect where ezMarker is tested (localhost)",SPMP,,Feedback,Completed
